HDI Rank (2018);Country
1;Norway
2;Switzerland
3;Ireland
4;Germany
4;Hong Kong
6;Australia
6;Iceland
8;Sweden
9;Singapore
10;Netherlands
11;Denmark
12;Finland
13;Canada
14;New Zealand
15;United Kingdom
15;USA
17;Belgium
18;Liechtenstein
19;Japan
20;Austria
21;Luxembourg
22;Israel
22;South Korea
24;Slovenia
25;Spain
26;Czechia
26;France
28;Malta
29;Italy
30;Estonia
31;Cyprus
32;Greece
32;Poland
34;Lithuania
35;United Arab Emirates
36;Andorra
36;Saudi Arabia
36;Slovakia
39;Latvia
40;Portugal
41;Qatar
42;Chile
43;Brunei Darussalam
43;Hungary
45;Bahrain
46;Croatia
47;Oman
48;Argentina
49;Russian Federation
50;Belarus
50;Kazakhstan
52;Bulgaria
52;Montenegro
52;Romania
55;Palau
56;Barbados
57;Kuwait
57;Uruguay
59;Turkey
60;Bahamas
61;Malaysia
62;Seychelles
63;Serbia
63;Trinidad and Tobago
65;Iran
66;Mauritius
67;Panama
68;Costa Rica
69;Albania
70;Georgia
71;Sri Lanka
72;Cuba
73;Saint Kitts and Nevis
74;Antigua and Barbuda
75;Bosnia and Herzegovina
76;Mexico
77;Thailand
78;Grenada
79;Brazil
79;Colombia
81;Armenia
82;Algeria
82;Macedonia
82;Peru
85;China
85;Ecuador
87;Azerbaijan
88;Ukraine
89;Dominican Republic
89;Saint Lucia
91;Tunisia
92;Mongolia
93;Lebanon
94;Botswana
94;Saint Vincent and the Grenadines
96;Jamaica
96;Venezuela
98;Dominica
98;Fiji
98;Paraguay
98;Suriname
102;Jordan
103;Belize
104;Maldives
105;Tonga
106;Philippines
107;Republic of Moldova
108;Turkmenistan
108;Uzbekistan
110;Libya
111;Indonesia
111;Samoa
113;South Africa
114;Bolivia
115;Gabon
116;Egypt
117;Marshall Islands
118;Viet Nam
119;Palestine
120;Iraq
121;Marocco
122;Kyrgyzstan
123;Guyana
124;El Salvador
125;Tajikistan
126;Cape Verde
126;Guatemala
126;Nicaragua
129;India
130;Namibia
131;East Timor
132;Honduras
132;Kiribati
134;Bhutan
135;Bangladesh
135;Micronesia
137;Sao Tome and Principe
138;Congo - Brazzaville
138;Swaziland
140;Laos
141;Vanuatu
142;Ghana
143;Zambia
144;Equatorial Guinea
145;Myanmar
146;Cambodia
147;Kenia
147;Nepal
149;Angola
150;Cameroon
150;Zimbabwe
152;Pakistan
153;Solomon Islands
154;Syria
155;Papua New Guinea
156;Comoros
157;Rwanda
158;Nigeria
159;Tanzania
159;Uganda
161;Mauritania
162;Madagascar
163;Benin
164;Lesotho
165;Cote de Ivoire
166;Senegal
167;Togo
168;Sudan
169;Haiti
170;Afghanistan
171;Djibouti
172;Malawi
173;Ethiopia
174;Gambia
174;Guinea
176;Liberia
177;Yemen
178;Guinea-Bissau
179;Democratic Republic of the Congo
180;Mozambique
181;Sierra Leone
182;Burkina Faso
182;Eritrea
184;Mali
185;Burundi
186;South Sudan
187;Chad
188;Central African Republic
189;Niger
;
 ;
 ;
 ;
 ;
 ;
;
 ;
 ;
 ;
 ;
 ;
 ;
 ;
 ;
 ;
 ;
